COUNTRY,INDICATOR,FREQUENCY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,-1.831,-1.773,-1.973,-1.823,-2.302,-1.998,-3.12,-3.729,-3.862,-3.068,-2.761,-1.63,-3.146,-4.644,-5.022,-4.948,-5.448,-3.493,-3.927,-2.688,-2.934,-0.437,-2.102,-3.509,-2.656,-3.091,-2.961
Austria,"Current account balance (credit less debit), Percent of GDP",Annual,-0.71,-0.8,2.118,1.557,2.092,2.274,3.318,3.826,4.52,2.613,2.873,1.641,1.492,1.748,2.397,1.577,2.574,1.264,0.846,2.376,3.367,1.735,-0.862,1.341,2.409,1.793,2.157
G7,"Current account balance (credit less debit), Percent of GDP",Annual,-1.361,-1.376,-1.408,-1.481,-1.296,-1.706,-1.86,-1.339,-1.607,-0.633,-0.674,-0.75,-0.877,-0.621,-0.633,-0.512,-0.123,0.09,-0.103,0.039,-0.738,-0.74,-1.992,-1.434,-1.629,-1.757,-1.572
United States,"Gross debt, General government, Percent of GDP",Annual,,53.485,55.859,58.956,66.439,65.778,64.531,64.948,73.845,87.07,95.644,100.02,103.659,105.003,104.93,105.424,107.38,106.374,107.625,108.751,132.513,125.009,119.104,119.836,122.322,125.05,128.749
Advanced Economies,"Gross domestic product (GDP), Constant prices, Percent change",Annual,4.158,1.577,1.639,2.025,3.251,2.833,3.085,2.755,0.314,-3.365,3.107,1.764,1.152,1.492,2.107,2.393,1.826,2.595,2.286,1.87,-3.928,6.033,2.98,1.727,1.827,1.607,1.634
Advanced Economies,"Gross debt, General government, Percent of GDP",Annual,,70.273,71.312,73.425,76.799,76.269,73.547,71.231,77.935,91.158,97.515,101.453,105.725,104.187,103.694,103.292,105.633,103.23,102.746,103.814,122.16,115.62,109.327,108.513,109.053,110.248,111.807
Advanced Economies,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2.256,2.184,1.574,1.856,2.031,2.333,2.363,2.194,3.449,0.189,1.552,2.707,2.006,1.382,1.352,0.306,0.747,1.707,1.959,1.399,0.681,3.1,7.311,4.625,2.622,2.458,2.166
Advanced Economies,"Structural balance, General government, Percent",Annual,,-2.294,-3.462,-3.8,-3.603,-2.847,-2.34,-2.676,-4.162,-5.924,-6.689,-5.632,-4.409,-3.153,-2.543,-2.179,-2.344,-2.392,-2.474,-3.156,-7.514,-6.679,-4.405,-5.002,-4.935,-4.914,-4.981
Advanced Economies,"Current account balance (credit less debit), Percent of GDP",Annual,-0.898,-0.88,-0.836,-0.765,-0.623,-1.099,-1.219,-1.003,-1.349,-0.204,0.041,-0.082,0.015,0.487,0.498,0.569,0.819,0.987,0.791,0.716,0.249,0.779,-0.45,-0.027,0.076,-0.077,0.055
World,"All Items, Consumer price index (CPI), Period average, percent change",Annual,4.975,4.653,3.724,3.899,3.83,3.973,3.955,4.131,6.31,2.653,3.634,4.965,4.023,3.556,3.172,2.734,2.717,3.268,3.659,3.558,3.341,4.714,8.683,6.741,5.786,4.198,3.709
World,"Gross national savings, Percent of GDP",Annual,24.145,23.386,22.728,22.923,23.826,24.287,25.383,25.524,25.093,23.22,24.849,25.719,25.997,25.982,26.415,26.151,25.807,26.454,26.811,26.809,26.579,27.896,27.801,26.424,26.226,25.923,26.01
Advanced Economies,"Gross national savings, Percent of GDP",Annual,23.886,22.845,21.902,21.644,22.268,22.391,23.099,22.657,21.261,19.325,20.726,21.372,21.668,21.774,22.392,22.618,22.408,23.002,23.133,23.25,22.559,23.512,22.969,21.976,21.803,21.902,22.004
Advanced Economies,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,12.132,0.021,2.973,4.308,9.074,6.773,7.872,5.344,0.362,-11.279,11.504,5.288,1.234,2.583,4.056,4.815,2.616,4.733,3.755,1.99,-8.178,10.17,7.357,-0.73,2.104,3.075,1.279
World,"Gross domestic product (GDP), Constant prices, Percent change",Annual,4.781,2.495,2.831,3.813,5.274,4.711,5.281,5.341,2.923,-0.332,5.255,4.106,3.375,3.387,3.551,3.433,3.221,3.836,3.638,2.968,-2.709,6.617,3.75,3.513,3.336,3.163,3.089
World,"Gross capital formation, Percent of GDP",Annual,24.333,23.644,22.94,23.126,23.824,24.203,24.754,25.283,25.291,23.229,24.469,25.206,25.358,25.411,25.709,25.741,25.442,25.937,26.449,26.435,26.306,27.104,27.415,26.483,26.059,25.628,25.738
World,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,12.486,0.553,3.902,5.446,10.956,7.458,9.22,7.392,2.5,-9.722,11.465,6.592,3.242,3.689,4.002,3.383,2.491,5.302,3.686,1.164,-7.939,10.804,5.453,1.087,3.623,3.564,2.285
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),"Structural balance, General government, Percent",Annual,-0.203,-0.669,-0.736,-0.333,-0.5,0.382,0.584,1.077,-0.263,-1.641,-1.618,-1.345,-1.193,-1.317,-1.078,-0.924,-0.411,0.039,-0.057,-1.281,-4.409,-2.496,-1.766,-1.78,-2.039,-2.204,-2.116
Belgium,"Gross domestic product (GDP), Constant prices, Percent change",Annual,3.717,1.1,1.707,1.038,3.571,2.322,2.553,3.677,0.447,-1.906,2.71,1.931,0.216,0.306,1.766,1.474,1.193,1.475,1.878,2.443,-4.793,6.207,4.26,1.202,1.019,1.065,0.98
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),"Gross debt, General government, Percent of GDP",Annual,34.91,35.659,35.9,36.722,34.968,33.927,33.115,31.306,32.788,35.549,35.684,36.67,38.173,39.167,40.45,41.352,41.792,41.311,41.015,42.934,49.72,49.333,48.138,49.613,50.08,50.684,51.3
Austria,"All Items, Consumer price index (CPI), Period average, percent change",Annual,1.956,2.302,1.681,1.302,1.964,2.102,1.686,2.2,3.23,0.406,1.691,3.542,2.569,2.118,1.465,0.81,0.973,2.228,2.122,1.493,1.392,2.76,8.619,7.712,2.918,3.562,2.328
Denmark,"Current account balance (credit less debit), Percent of GDP",Annual,1.991,3.644,2.997,3.925,4.035,4.052,3.18,1.292,2.865,3.586,6.415,6.346,6.064,7.368,8.402,7.957,7.088,7.323,6.307,7.446,7.226,8.548,11.163,11.005,12.193,12.235,11.661
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,14.519,-3.357,5.991,7.307,13.589,8.738,8.849,8.84,4.539,-9.266,15.31,7.756,2.282,4.521,1.734,2.356,2.638,5.157,3.754,-1.027,-5.593,10.922,3.66,0.703,3.918,4.478,2.999
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,14.531,-1.142,5.656,7.601,14.09,8.442,9.174,8.555,4.239,-6.643,13.51,6.772,2.881,5.301,2.553,2.48,2.312,3.88,3.979,0.039,-4.392,10.77,2.174,1.744,4.116,4.588,3.156
United States,"Gross national savings, Percent of GDP",Annual,20.741,19.581,18.303,17.351,17.662,18.052,19.126,17.354,14.975,13.798,15.288,16.238,18.288,18.475,19.571,19.611,18.472,18.882,19.126,19.329,18.232,17.583,18.186,17.026,16.494,17.275,17.578
G7,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2.128,1.935,1.309,1.763,1.986,2.328,2.339,2.167,3.2,-0.068,1.385,2.604,1.921,1.333,1.51,0.31,0.784,1.759,2.089,1.481,0.794,3.333,7.333,4.697,2.653,2.547,2.225
United States,Unemployment rate,Annual,3.967,4.742,5.783,5.992,5.542,5.083,4.608,4.617,5.8,9.283,9.608,8.933,8.075,7.358,6.158,5.275,4.875,4.358,3.892,3.675,8.1,5.358,3.642,3.633,4.033,4.184,4.119
United Kingdom,Unemployment rate,Annual,5.45,5.1,5.2,5,4.75,4.825,5.425,5.35,5.725,7.625,7.9,8.1,7.95,7.575,6.175,5.375,4.875,4.425,4.075,3.825,4.625,4.55,3.8,4.05,4.3,4.7,4.7
G7,"Gross domestic product (GDP), Constant prices, Percent change",Annual,3.811,1.266,1.134,1.864,2.882,2.564,2.601,2.075,-0.05,-3.717,2.883,1.651,1.342,1.541,1.968,2.178,1.576,2.365,2.093,1.747,-4.178,5.889,2.688,1.823,1.688,1.428,1.551
United Kingdom,"Structural balance, General government, Percent",Annual,1.307,0.085,-1.733,-3.153,-3.279,-3.625,-3.676,-4.326,-6.217,-7.695,-6.41,-4.811,-4.85,-2.911,-3.82,-3.389,-2.302,-2.084,-2.061,-2.385,-11.072,-7.21,-5.601,-6.309,-5.496,-4.038,-3.272
Advanced Economies,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,12.065,-0.215,2.661,3.189,9.58,6.331,8.849,6.727,1.996,-10.904,12.06,6.135,2.467,3.174,3.852,3.843,2.153,4.794,3.429,1.44,-8.71,9.705,5.971,0.915,1.839,2.071,1.663
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,3.367,2.817,1.596,2.298,2.668,3.366,3.222,2.871,3.815,-0.32,1.637,3.14,2.073,1.466,1.615,0.121,1.267,2.131,2.439,1.813,1.253,4.679,7.993,4.128,2.952,2.715,2.435
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,4.342,2.573,1.796,3.152,2.458,2.733,2.381,2.625,-0.249,-4.621,2.233,1.138,1.509,1.8,3.195,2.223,1.922,2.657,1.405,1.624,-10.297,8.576,4.839,0.397,1.101,1.308,1.264
United States,"Gross capital formation, Percent of GDP",Annual,23.678,22.177,21.723,21.746,22.652,23.376,23.538,22.557,21.037,17.769,18.672,19.034,19.951,20.379,20.901,21.415,20.888,21.156,21.569,21.67,21.438,21.407,22.027,21.57,21.533,21.415,21.202
