MEV,LSTM RMSE,VAR RMSE,Prophet RMSE,LSTM MAE,VAR MAE,Prophet MAE,Winner
GDP,5.1525,4.1396,5.8234,4.9899,3.5093,5.5694,VAR
Inflation,3.0731,2.2955,2.1,2.6039,2.2651,1.788,Prophet
Unemployment rate,0.1466,1.4645,2.011,0.1394,0.8121,1.9931,LSTM
Current Balance,2.9389,1.3976,0.6809,2.8868,1.1003,0.6499,Prophet
Fiscal Balance,1.064,0.5958,1.5501,0.9139,0.478,1.5196,VAR
Debt,13.0734,8.281,6.4712,13.0651,4.7003,6.0399,Prophet
Investment,5.259,1.1535,2.7324,5.2428,1.0516,2.4866,VAR
GNS,2.8009,0.9411,9.3501,2.7434,0.9164,8.4165,VAR
Export,5.4215,11.3416,4.955,4.3176,8.568,4.1438,Prophet
Import,15.6441,8.6286,5.5533,15.2731,8.0831,5.0683,Prophet
